lemma,pos,freq
wreckage_,VERB,2
german_,VERB,2
romanian_,VERB,2
thai_,VERB,2
christmas_eve_,VERB,2
new_year's_eve_,VERB,2
new_year's_eve,VERB,2
end_of_year_,VERB,2
tattoo_,VERB,2
fatness,VERB,2
bloom,VERB,2
out_of_body_,VERB,2
sitski,VERB,2
smoking_,VERB,2
die,VERB,2
dictator_,PREP,2
dictatorship_,VERB,2
domestic_science,VERB,2
handmade_figure,VERB,2
handicraft_,VERB,2
influence,VERB,2
cube_,VERB,2
balance_,VERB,2
grave_mound,VERB,2
thick,ADJ,2
density,VERB,2
denseness,VERB,2
discord,PRON,2
diver_,PREP,2
latvian_,VERB,2
snake_,VERB,2
sprout,PRON,2
way,VERB,2
beach_tennis_,VERB,2
danish_,VERB,2
impaired,ADJ,2
handicapped_,ADJ,2
ping-pong_,VERB,2
contact_list,VERB,2
confusion_,VERB,2
drying_rack_,VERB,2
pinch,VERB,2
reuse,VERB,2
rot,PRON,2
slanting,ADJ,2
slanted,ADJ,2
unicycle,VERB,2
leftovers,VERB,2
film_,VERB,2
vegetarian_,ADJ,2
bored,ADJ,2
joke_,VERB,2
wrapping,VERB,2
carnival,VERB,2
nationality_,VERB,2
manner,VERB,2
penalty_card_,VERB,2
seam_,VERB,2
minigolf_,VERB,2
minimum_,VERB,2
growl,PRON,2
confused_,ADJ,2
confusing_,ADJ,2
order,ADJ,2
slope_,VERB,2
exclamation_mark,NOUN,1
percent,VERB,1
percentage,VERB,1
question_mark,VERB,1
full_stop,NOUN,1
decimal_point,NOUN,1
comma,NOUN,1
colon,NOUN,1
apostrophe,NOUN,1
degree,NOUN,1
an,NOUN,1
ability,VERB,1
capability,VERB,1
capacity,VERB,1
potential,VERB,1
about,NOUN,1
concerning,NOUN,1
regarding,NOUN,1
in_relation_to,NOUN,1
absorbent_material,VERB,1
sponge,VERB,1
abstinence,VERB,1
abuse,VERB,1
assault,VERB,1
violence,VERB,1
accessory,VERB,1
chance_event,VERB,1
account,VERB,1
ache,VERB,1
acne,VERB,1
across,NOUN,1
deed,VERB,1
activity,VERB,1
male_gender_,VERB,1
active,ADJ,1
actively,ADJ,1
adar,VERB,1
add,PRON,1
gain-,PRON,1
addition,VERB,1
gain,VERB,1
adolescence,VERB,1
grownup,PREP,1
mature,ADJ,1
advance,PRON,1
advice,VERB,1
recommendation,VERB,1
advise,PRON,1
recommend-,PRON,1
afraid,ADJ,1
frightened,ADJ,1
scared,ADJ,1
after,NOUN,1
behind,NOUN,1
afternoon,VERB,1
again,NOUN,1
against,NOUN,1
opposed_to,NOUN,1
ago,NOUN,1
then_,NOUN,1
agree-,PRON,1
agreement,VERB,1
device,VERB,1
air,VERB,1
atmosphere,VERB,1
airplane,VERB,1
aeroplane,VERB,1
plane,VERB,1
airport,VERB,1
alcoholic_drink,VERB,1
alcoholic_beverage,VERB,1
liquor,VERB,1
all,NOUN,1
everything,NOUN,1
total,NOUN,1
whole,NOUN,1
all_gone,NOUN,1
alligator,VERB,1
crocodile,VERB,1
alone,ADJ,1
only,ADJ,1
solitary,ADJ,1
along_with,NOUN,1
alpana,VERB,1
rangoli_,VERB,1
although,NOUN,1
always,ADJ,1
forever,ADJ,1
ambulance,VERB,1
amenorrhea,VERB,1
amphibian,VERB,1
amuse,PRON,1
entertain,PRON,1
please-,PRON,1
anal_intercourse,VERB,1
and,NOUN,1
also,NOUN,1
plus,NOUN,1
too,NOUN,1
angle,VERB,1
angry,ADJ,1
angrily,ADJ,1
mad,ADJ,1
animal,VERB,1
beast,VERB,1
bovid,VERB,1
bovine,VERB,1
dog,VERB,1
canine_,VERB,1
canid,VERB,1
deer,VERB,1
cervine_,VERB,1
cervid,VERB,1
domestic_animal,VERB,1
cat,VERB,1
feline_,VERB,1
felid,VERB,1
marsupial_,VERB,1
pouched_mammal,VERB,1
rat,VERB,1
rodent,VERB,1
gnawer,VERB,1
gnawing_animal,VERB,1
animal_skin,VERB,1
pelt,VERB,1
lizard,VERB,1
reptile_,VERB,1
ankle,VERB,1
anniversary,VERB,1
reply,VERB,1
reply-,PRON,1
ant,VERB,1
anus,VERB,1
anxiety,VERB,1
anxious,ADJ,1
anxiously,ADJ,1
anyone,PREP,1
anybody,PREP,1
somebody,PREP,1
someone,PREP,1
anything,NOUN,1
something,NOUN,1
anytime,NOUN,1
sometime,NOUN,1
anywhere,NOUN,1
anyplace,NOUN,1
someplace,NOUN,1
somewhere,NOUN,1
apartment,VERB,1
apologize,PRON,1
apologise,PRON,1
regret_-,PRON,1
apple,VERB,1
appointment,VERB,1
approach,VERB,1
approve-,PRON,1
apricot,VERB,1
april,VERB,1
apron,VERB,1
coverall,VERB,1
smock,VERB,1
overall,VERB,1
architect,PREP,1
argue,PRON,1
quarrel-,PRON,1
argument,VERB,1
arm,VERB,1
armchair,VERB,1
military,VERB,1
armed_forces,VERB,1
armed_services,VERB,1
around,NOUN,1
art,VERB,1
art_gallery,VERB,1
gallery,VERB,1
artificial_insemination,VERB,1
artificial_respiration,VERB,1
give_artificial_respiration,PRON,1
resuscitate,PRON,1
revive-,PRON,1
ashes,VERB,1
ashtray,VERB,1
ask,PRON,1
question-,PRON,1
asleep,ADJ,1
astronaut,PREP,1
cosmonaut,PREP,1
at,NOUN,1
atom,VERB,1
attack_,VERB,1
attention,VERB,1
august,VERB,1
aunt,PREP,1
fall_,VERB,1
av_,VERB,1
avocado,VERB,1
awake,ADJ,1
off_,NOUN,1
baby,PREP,1
infant,PREP,1
baby_boy,PREP,1
baby_carriage,VERB,1
buggy,VERB,1
pram,VERB,1
pushchair,VERB,1
stroller,VERB,1
baby_clinic,VERB,1
baby_girl,PREP,1
babysitter,PREP,1
back_,VERB,1
back_and_forth,NOUN,1
backward_and_forward,NOUN,1
to_and_fro,NOUN,1
alternation,NOUN,1
backpack,VERB,1
rucksack,VERB,1
back_up-,PRON,1
backward,NOUN,1
back,NOUN,1
bacon,VERB,1
badge,VERB,1
shield,VERB,1
baggage,VERB,1
luggage,VERB,1
suitcase,VERB,1
bake,PRON,1
roast-,PRON,1
balcony,VERB,1
porch,VERB,1
veranda,VERB,1
ball,VERB,1
balloon,VERB,1
banana,VERB,1
orchestra_,PREP,1
bandage,VERB,1
pub,VERB,1
barber,PREP,1
hairdresser,PREP,1
barbershop,VERB,1
beauty_shop,VERB,1
shed,VERB,1
barrier_,VERB,1
base_camp,VERB,1
bathroom,VERB,1
washroom,VERB,1
battery,VERB,1
be,PRON,1
am,PRON,1
are,PRON,1
is,PRON,1
exist-,PRON,1
beach,VERB,1
coast,VERB,1
shore,VERB,1
bean,VERB,1
bear,VERB,1
beard,VERB,1
beautiful,ADJ,1
attractive,ADJ,1
good-looking,ADJ,1
handsome,ADJ,1
pretty,ADJ,1
beaver,VERB,1
because,NOUN,1
become-,PRON,1
bed,VERB,1
bedroom,VERB,1
bee,VERB,1
bumblebee,VERB,1
hoverfly,VERB,1
beef,VERB,1
beer,VERB,1
beet,VERB,1
beetroot,VERB,1
beetle,VERB,1
before,NOUN,1
in_front_of,NOUN,1
prior_to,NOUN,1
begin,PRON,1
start-,PRON,1
beginning,VERB,1
start,VERB,1
behaviour,VERB,1
belief,VERB,1
believe-,PRON,1
belongs_to,OTHER,1
of_,OTHER,1
belt,VERB,1
sash,VERB,1
bench,VERB,1
pew,VERB,1
berry,VERB,1
best,ADJ,1
better,ADJ,1
between,NOUN,1
past_,ADJ,1
bib,VERB,1
bicycle,VERB,1
big,ADJ,1
large,ADJ,1
bindi,VERB,1
tika_,VERB,1
bird,VERB,1
duck,VERB,1
waterbird,VERB,1
waterfowl,VERB,1
seabird,VERB,1
seafowl,VERB,1
giving_birth,VERB,1
parturition,VERB,1
delivery,VERB,1
