lemma,pos,bci_av_id
chauffage,VERB,17273
chauffe-plats,VERB,22593
chauffer,PRON,14697
chauffeur,PREP,13884
chauffeur de bus,PREP,13091
chauffeur de taxi,PREP,17510
chaussette,VERB,17264
chaussure,VERB,16959
chaussure de skis,VERB,16999
chauve-souris,VERB,12636
chaîne,VERB,21849
chaîne payante,VERB,24708
chef,PREP,12878
chef cuisinier,PREP,22907
chef d'orchestre,PREP,13399
chef du service social,PREP,24620
chef religieux,PREP,21055
chemin,VERB,24328
cheminée,VERB,13168
chemise,VERB,16957
chemise de nuit,VERB,16442
chemisette,VERB,17972
chenille,VERB,13132
cher,OTHER,13644
chercher partout,PRON,16742
chercheur,PREP,23652
cheval,VERB,14897
cheval à bascule,VERB,16682
cheveux,VERB,14660
cheville,VERB,12391
chevreuil,VERB,23944
chez,NOUN,12591
chez soi,VERB,14885
chien,VERB,12380
chien de luge,VERB,21878
chiffre numérique,NOUN,23476
chimie,VERB,21544
chimiste,PREP,21562
chiot,VERB,16434
chipmunk,VERB,13170
chips,VERB,24716
chiropodiste,PREP,21596
chiropracteur,PREP,21601
chiropraticien,PREP,21601
chirurgien,PREP,21575
choc,VERB,24422
choco,VERB,13174
chocolat,VERB,13171
chocolat granulé,VERB,22343
chocolat liquide,VERB,22342
chocolat vermicelle,VERB,22343
chocolat à tartiner,VERB,22906
choisir,PRON,13178
choix,VERB,13175
chope,VERB,13621
chorale,PREP,13176
chose,VERB,17717
chou,VERB,13101
chou de bruxelles,VERB,12915
chou farci,VERB,23502
chou-fleur,VERB,13133
choucroute,VERB,16724
chouette,VERB,15949
christianisme,VERB,21027
christmas pudding,VERB,22308
chronomètre,VERB,23238
chrétien,ADJ,13180
chrétienté,VERB,21027
chuchoter,PRON,18240
chute,VERB,13440
chute d'eau,VERB,22622
chuter,PRON,14142
château,VERB,23437
château d'eau,VERB,23247
château fort,VERB,24119
chèvre,VERB,23097
chômage,VERB,17975
ciboulette,VERB,24427
cicatriser,PRON,24148
cidre,VERB,22347
ciel,VERB,17006
cigarette,VERB,13346
ciment,VERB,13397
cimetière,VERB,13142
cinq,NOUN,8501
circoncision,VERB,13348
circuit,VERB,14886
circulation,VERB,17766
circuler,PRON,15667
cirer,PRON,22389
cireuse,VERB,22390
cirque,VERB,24061
ciseaux,VERB,16736
